date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
2018-01-11,-7103.342,3588.904,9228.588,2892.8833,-2460.5198,-4620.8594,-12303.708,-5336.7393,-91.517845,-162.15544,7965.7188,-2124.5571,1271.3558,1562.1973,852.0262,-17785.389,-1859.1262,-9184.2705,1717.3236,-658.37146,7340.9907,637.0074,-8483.947,2530.4949,8382.205,3349.1636,-1346.3524,-1413.9725,-1565.5841,-873.85693,961.1751,-9092.344,5687.3843,3268.9888,741.3831,15389.65,254.77286,-8533.076,6540.8716,-1687.8981,-2827.5935,-8495.931,4776.9297,-2455.2214,2105.5881,120.7324,6472.9893,8483.275,347.27997,-315.37534,9673.113,8925.14,4295.7725,-552.7697,4623.791,-7548.804,8305.284,8874.36,-3355.1938,-10475.99,-2098.904,-680.3564,-2809.7903,-11348.536
2018-01-12,-10329.069,5252.4526,13382.618,4230.6733,-3564.4949,-6730.929,-17912.701,-7712.5737,-147.53983,-253.89163,11593.805,-3074.3977,1862.8676,2281.1353,1240.5635,-25866.398,-2697.9255,-13375.754,2475.2373,-967.5156,10651.392,937.705,-12275.941,3719.237,12191.576,4903.7827,-1974.3785,-2040.1958,-2281.2524,-1253.4877,1388.1425,-13200.257,8276.272,4737.5854,1071.756,22396.197,385.78186,-12396.938,9508.769,-2454.397,-4118.335,-12324.223,6961.2593,-3581.0642,3021.13,168.69118,9397.189,12320.312,494.73322,-496.6657,14047.0,12991.369,6229.625,-776.9618,6733.461,-10981.319,12086.2295,12920.947,-4847.435,-15244.3955,-3066.3376,-985.1415,-4087.999,-16536.723
2018-01-13,-14337.012,7321.8613,18536.256,5896.1655,-4931.7363,-9354.061,-24879.395,-10655.128,-217.94673,-370.3141,16102.24,-4255.094,2598.3965,3174.4478,1722.9069,-35904.43,-3741.7852,-18584.23,3414.445,-1352.4362,14760.506,1316.8964,-16979.727,5200.5757,16922.016,6841.3594,-2758.174,-2817.387,-3169.9644,-1721.5577,1920.3342,-18296.396,11494.057,6560.7466,1479.852,31097.916,551.2183,-17193.0,13189.66,-3402.8247,-5720.864,-17079.213,9676.075,-4980.6987,4155.186,224.65929,13025.63,17081.854,675.7603,-726.51654,19478.047,18042.1,8628.94,-1051.7754,9356.315,-15243.147,16784.197,17947.129,-6695.3394,-21164.342,-4270.086,-1362.0751,-5678.033,-22981.76
2018-01-14,-10506.87,5312.302,13640.679,4281.221,-3636.5933,-6836.5474,-18201.232,-7884.919,-138.25096,-243.35387,11782.491,-3139.2698,1882.7384,2310.915,1259.5897,-26304.871,-2748.9834,-13585.112,2537.3657,-975.7868,10853.663,945.3869,-12538.247,3749.0308,12396.515,4958.852,-1995.5256,-2086.1177,-2317.381,-1288.1937,1421.7081,-13442.749,8411.229,4832.978,1095.2557,22763.34,380.79504,-12615.927,9672.037,-2495.0945,-4182.403,-12559.642,7068.933,-3633.96,3108.671,176.1753,9570.486,12542.966,510.2562,-472.40994,14305.837,13201.077,6352.0996,-813.19794,6840.3594,-11163.235,12285.173,13126.973,-4955.013,-15493.3955,-3106.7678,-1003.72217,-4157.8037,-16788.713
2018-01-15,-5479.91,2758.2139,7130.462,2225.0317,-1903.3611,-3561.4873,-9488.401,-4132.139,-66.13103,-120.91421,6142.8496,-1642.4524,978.52155,1202.1323,657.8832,-13722.536,-1436.3822,-7079.13,1332.7484,-505.16406,5671.65,487.3591,-6564.921,1938.846,6466.1333,2573.599,-1034.06,-1095.3015,-1207.7021,-679.1921,744.19946,-7022.2915,4384.5054,2528.069,574.46234,11871.442,191.15485,-6588.0493,5048.9453,-1303.7135,-2180.1816,-6563.2817,3682.3271,-1891.8564,1635.4634,95.76221,4999.8486,6550.9053,269.15408,-232.31853,7472.239,6881.9707,3319.7532,-434.32587,3564.503,-5822.317,6404.597,6842.9473,-2598.2795,-8081.339,-1614.6622,-524.29565,-2168.268,-8746.711
2018-01-16,-8176.441,4124.7637,10631.878,3326.3372,-2836.3618,-5316.513,-14160.958,-6153.9053,-102.07482,-183.81148,9168.186,-2448.2156,1462.1156,1796.536,981.62177,-20474.754,-2141.565,-10569.087,1981.9885,-755.9022,8456.185,729.5893,-9779.528,2904.022,9649.587,3848.3787,-1545.9924,-1631.6139,-1801.8002,-1010.2201,1107.3864,-10472.829,6545.1445,3767.2139,855.2742,17715.709,288.7746,-9827.65,7532.4644,-1944.7141,-3254.5793,-9786.445,5496.6353,-2824.6082,2430.6775,141.5224,7455.9873,9770.78,401.25876,-355.79987,11140.769,10272.502,4948.329,-641.5722,5320.8726,-8690.102,9558.639,10213.833,-3869.8933,-12060.4,-2413.2317,-783.55426,-3234.2405,-13058.942
2018-01-17,-8399.811,4254.8774,10905.248,3429.2444,-2906.69,-5467.2944,-14557.221,-6298.4287,-112.57634,-196.4803,9423.576,-2508.6177,1507.8031,1851.2612,1008.68414,-21035.062,-2196.7031,-10868.736,2024.2208,-781.3764,8674.282,755.0607,-10015.016,3004.5059,9915.286,3970.0342,-1595.4852,-1668.7971,-1852.2722,-1029.5527,1132.3278,-10748.14,6728.156,3861.1516,875.7036,18206.385,304.21283,-10090.126,7736.619,-1997.1606,-3346.407,-10038.842,5653.1,-2906.5862,2477.2847,141.81128,7651.1196,10029.5,409.04108,-383.7864,11432.284,10560.047,5074.236,-645.8493,5470.5747,-8930.568,9824.995,10500.231,-3960.0266,-12394.569,-2486.3303,-805.31537,-3322.7273,-13432.343
2018-01-18,-8234.667,4153.3413,10707.126,3349.2373,-2856.338,-5354.325,-14261.627,-6198.121,-103.12002,-184.77132,9233.007,-2465.5562,1472.4316,1809.2944,988.4838,-20620.613,-2156.6912,-10643.208,1996.7683,-761.27936,8516.159,735.21,-9849.618,2924.0955,9717.736,3875.2542,-1557.0128,-1642.67,-1814.8761,-1016.8099,1115.6859,-10546.839,6591.1333,3794.2761,861.8015,17841.229,290.8754,-9896.689,7585.768,-1958.2185,-3277.3098,-9855.604,5535.858,-2844.7847,2448.521,141.92096,7508.7837,9839.66,403.64728,-357.71274,11220.923,10344.815,4983.878,-646.42377,5358.359,-8750.784,9626.744,10285.978,-3896.98,-12145.405,-2429.7576,-788.7871,-3257.8044,-13150.985
2018-01-19,-9219.845,4694.6924,11943.521,3781.0642,-3180.3367,-6008.9346,-15992.55,-6878.9805,-134.71712,-227.76442,10350.159,-2743.3342,1664.1853,2039.4271,1107.5472,-23089.678,-2406.6375,-11944.516,2205.3503,-864.92316,9502.717,837.16046,-10947.311,3327.8306,10885.371,4381.45,-1762.3455,-1819.7919,-2035.6615,-1117.6061,1235.8088,-11781.281,7389.784,4225.9062,956.7984,19993.879,344.90085,-11065.803,8489.279,-2191.1875,-3677.4175,-10996.419,6214.946,-3197.8445,2690.3096,150.44537,8385.81,10996.457,442.9312,-447.91116,12531.704,11600.138,5556.828,-689.6551,6011.1265,-9805.68,10791.193,11535.828,-4323.273,-13610.912,-2739.3647,-882.794,-3648.1658,-14767.31
2018-01-20,-14447.927,7384.779,18669.691,5943.0674,-4966.0493,-9429.016,-25070.1,-10725.546,-222.43398,-375.42493,16226.1875,-4284.5835,2616.7798,3198.5364,1732.8575,-36172.074,-3767.4531,-18729.535,3433.3108,-1364.3353,14868.695,1328.531,-17094.775,5250.773,17050.41,6899.589,-2784.9666,-2833.2734,-3194.9382,-1731.8302,1934.3453,-18430.95,11584.519,6604.1313,1487.0845,31331.492,564.1149,-17317.398,13285.905,-3426.5227,-5764.468,-17203.416,9751.817,-5019.833,4182.8154,225.10004,13120.353,17207.205,681.85846,-738.91516,19617.555,18181.887,8693.598,-1054.9946,9429.536,-15361.503,16913.277,18085.059,-6738.663,-21321.896,-4308.2363,-1373.1022,-5719.6055,-23161.418
2018-01-21,-10896.286,5533.972,14125.434,4457.89,-3762.006,-7098.0093,-18889.113,-8145.7266,-151.50252,-263.6027,12228.726,-3247.7346,1960.9786,2403.5054,1308.5449,-27285.385,-2848.0671,-14106.429,2616.1204,-1017.9395,11242.161,987.83545,-12964.243,3914.5403,12859.865,5166.8345,-2079.8157,-2156.9907,-2404.8635,-1326.3076,1467.074,-13928.668,8730.596,5001.115,1131.2285,23620.72,404.1433,-13080.294,10029.67,-2587.796,-4342.723,-13009.282,7339.45,-3774.601,3196.784,178.6455,9916.413,12999.559,524.3471,-516.42834,14821.472,13701.529,6575.2935,-825.3491,7101.9736,-11583.16,12747.355,13626.617,-5120.5835,-16077.958,-3231.5737,-1039.5118,-4311.4214,-17435.867
2018-01-22,-7048.711,3546.9165,9170.11,2861.431,-2448.3848,-4581.2246,-12206.053,-5314.9795,-85.45814,-156.18759,7901.117,-2111.654,1259.6113,1545.9684,846.2996,-17651.727,-1847.673,-9104.311,1715.2047,-650.0926,7295.333,627.3443,-8444.625,2493.1147,8316.426,3310.171,-1330.7413,-1407.5085,-1554.5048,-872.59467,957.88104,-9032.107,5638.2188,3252.5037,739.2602,15270.8125,246.05568,-8473.061,6494.4326,-1677.0741,-2804.17,-8441.062,4737.574,-2434.1443,2103.3845,122.70787,6431.1646,8425.79,344.49704,-298.79382,9614.0205,8851.23,4270.7207,-558.53973,4584.775,-7487.4956,8238.062,8801.912,-3341.0977,-10394.626,-2076.4385,-672.8061,-2790.2942,-11250.611
2018-01-23,-9571.256,4831.6787,12438.974,3895.4922,-3317.517,-6224.7974,-16578.188,-7197.2876,-122.164825,-216.93546,10732.229,-2863.7925,1712.7378,2104.0508,1148.5814,-23966.61,-2505.8062,-12372.6,2317.9211,-886.23785,9894.429,856.7687,-11439.367,3404.4685,11294.64,4508.6816,-1812.0819,-1906.3503,-2109.9705,-1179.0282,1295.9165,-12254.503,7661.485,4407.7314,1000.70715,20737.447,340.61145,-11499.858,8815.432,-2275.1208,-3809.5928,-11450.381,6436.194,-3307.8318,2840.931,163.34294,8724.562,11433.284,467.7714,-420.7306,13038.7295,12024.761,5790.5327,-747.74725,6229.1484,-10170.722,11190.348,11956.66,-4524.226,-14116.365,-2825.9404,-916.2891,-3786.922,-15288.719
