date,v0,v1,v2,v3,v4,v5,v6,v7
2018-02-27,-6541.5127,-3137.994,-2965.0361,2497.1116,-213.01773,8213.032,1144.8285,-5568.308
2018-02-28,-6951.1396,-3336.6138,-3153.721,2652.1108,-228.44215,8729.742,1218.109,-5915.471
2018-03-01,-3948.3953,-1912.0048,-1803.6289,1504.4972,-141.2278,4973.724,697.7151,-3356.8691
2018-03-02,-4382.098,-2115.156,-1995.882,1671.1984,-151.67339,5513.5874,771.48334,-3727.5625
2018-03-03,-4245.408,-2048.841,-1932.8853,1619.4857,-146.49806,5341.1304,747.01324,-3611.7288
2018-03-04,-963.5219,-466.48096,-440.94855,366.47418,-34.7761,1213.9452,170.7457,-818.51996
2018-03-05,-3250.021,-1565.566,-1481.5702,1237.0608,-111.889046,4087.6128,573.1994,-2762.4475
2018-03-06,-7362.1055,-3536.8303,-3343.38,2807.7656,-244.41974,9248.875,1291.7604,-6263.8433
2018-03-07,-7960.3525,-3822.423,-3611.601,3037.7722,-262.1173,9998.076,1394.8505,-6774.817
2018-03-08,-7846.2812,-3788.785,-3575.2378,2991.826,-272.81097,9873.775,1382.1464,-6673.6943
2018-03-09,-8018.0825,-3810.4263,-3600.2107,3070.9666,-233.12524,10031.936,1386.2107,-6838.1094
2018-03-10,-11551.192,-5478.092,-5169.0156,4432.5967,-324.04968,14439.008,1987.6605,-9860.512
2018-03-11,-8659.813,-4148.51,-3919.083,3307.9092,-277.2778,10866.86,1512.4393,-7374.0537
2018-03-12,-6675.3486,-3204.7478,-3028.4749,2547.2073,-219.51762,8383.676,1169.668,-5681.048
2018-03-13,-9453.598,-4544.895,-4290.521,3608.924,-313.91537,11877.577,1656.9016,-8046.5474
2018-03-14,-7652.3267,-3676.1396,-3472.912,2920.132,-253.0333,9612.614,1341.3662,-6512.447
2018-03-15,-6441.986,-3091.4775,-2922.6968,2457.5413,-211.42717,8089.825,1128.9327,-5481.9277
2018-03-16,-9377.808,-4460.058,-4210.4297,3593.5173,-273.79636,11735.299,1620.8232,-7999.2163
2018-03-17,-9896.562,-4686.241,-4425.464,3796.8816,-273.64175,12365.018,1701.696,-8447.852
2018-03-18,-8450.912,-4019.0273,-3794.9895,3237.6992,-246.97012,10575.507,1461.0573,-7207.9614
2018-03-19,-7557.0176,-3639.484,-3438.321,2881.177,-256.99487,9501.781,1328.9855,-6428.059
2018-03-20,-8766.722,-4208.967,-3973.562,3348.1758,-286.74585,11009.091,1533.9249,-7463.805
2018-03-21,-8043.1616,-3862.607,-3646.9905,3071.227,-264.05737,10101.597,1408.0505,-6847.097
2018-03-22,-7781.2217,-3734.982,-3527.7976,2970.7197,-254.59879,9771.293,1362.0967,-6623.7686
2018-03-23,-10763.737,-5145.824,-4854.8154,4119.451,-333.64853,13494.479,1871.1448,-9174.232
2018-03-24,-13415.957,-6353.243,-5988.576,5150.7856,-367.20328,16759.643,2299.6519,-11459.772
2018-03-25,-11652.133,-5573.0024,-5258.4766,4458.275,-363.37613,14610.876,2027.1144,-9930.073
2018-03-26,-8300.799,-3989.9607,-3765.963,3169.564,-274.78397,10428.259,1454.1167,-7066.1
2018-03-27,-8934.547,-4279.8154,-4040.066,3415.2795,-284.515,11210.255,1558.4861,-7610.4263
2018-03-28,-9927.431,-4757.284,-4490.1494,3794.7856,-317.29984,12457.621,1732.1797,-8455.989
2018-03-29,-8932.041,-4219.809,-3986.175,3428.6438,-239.94221,11150.892,1531.9688,-7627.069
2018-03-30,-10794.554,-5108.198,-4820.2036,4144.969,-294.35294,13482.564,1852.3392,-9218.361
2018-03-31,-13381.5205,-6333.772,-5974.0093,5132.9453,-365.81412,16715.273,2293.97,-11428.3
2018-04-01,-9272.355,-4472.8003,-4226.687,3532.3,-321.40704,11665.945,1634.6908,-7883.7397
2018-04-02,-10706.004,-5043.489,-4757.269,4108.063,-274.94858,13350.879,1823.2273,-9150.995
2018-04-03,-12292.3955,-5867.622,-5537.823,4700.8535,-375.5715,15403.655,2132.934,-10478.27
2018-04-04,-10045.975,-4795.6406,-4528.2944,3843.7666,-307.59573,12589.112,1745.3137,-8562.034
2018-04-05,-11443.555,-5464.083,-5156.1357,4376.6396,-350.5238,14341.237,1985.9784,-9754.7705
2018-04-06,-10573.96,-5040.442,-4759.9097,4046.6375,-318.4527,13244.004,1833.7417,-9014.152
2018-04-07,-13044.962,-6163.626,-5809.7915,5001.494,-347.75854,16284.367,2227.3809,-11146.577
2018-04-08,-13183.141,-6291.8193,-5935.1606,5041.5273,-401.08118,16518.254,2284.7646,-11239.897
