date,v0,v1,v2,v3
2018-04-16,2320.0164,1611.9248,7746.9424,-2233.4468
2018-04-17,3945.0076,2737.4216,13171.234,-3798.042
2018-04-18,4579.4053,3173.481,15280.425,-4406.886
2018-04-19,4579.253,3156.5144,15250.629,-4401.1636
2018-04-20,4656.3296,3207.8696,15505.707,-4475.1377
2018-04-21,6211.197,4226.864,20602.867,-5955.5396
2018-04-22,7133.955,4924.489,23783.29,-6862.8877
2018-04-23,5214.1953,3601.0889,17391.45,-5018.362
2018-04-24,6664.2266,4598.4204,22213.428,-6410.173
2018-04-25,6839.2,4694.767,22756.832,-6571.243
2018-04-26,6363.425,4372.095,21178.22,-6114.643
2018-04-27,6676.1133,4580.0444,22214.158,-6415.2017
2018-04-28,8383.116,5704.4175,27826.863,-8044.739
2018-04-29,8641.733,5846.408,28627.123,-8281.951
2018-04-30,8260.291,5646.479,27466.95,-7936.2925
2018-05-01,8066.3613,5530.2637,26837.684,-7751.1787
2018-05-02,6549.864,4510.9146,21821.697,-6298.768
2018-05-03,5690.4023,3915.297,18946.76,-5469.3604
2018-05-04,6502.8174,4473.884,21657.582,-6252.2124
2018-05-05,7027.796,4803.462,23352.396,-6746.929
2018-05-06,4010.566,2801.6177,13421.709,-3867.051
2018-05-07,3744.688,2592.4026,12495.495,-3604.352
2018-05-08,5445.342,3747.8833,18134.2,-5234.6455
2018-05-09,6130.911,4221.058,20420.287,-5894.352
2018-05-10,6782.548,4672.5024,22598.11,-6522.6074
2018-05-11,6306.3623,4305.349,20945.924,-6052.491
2018-05-12,7429.228,5093.394,24714.15,-7137.732
2018-05-13,7006.1304,4850.2803,23384.248,-6745.4565
2018-05-14,4780.92,3313.1921,15961.433,-4603.614
2018-05-15,5713.9995,3962.1,19075.629,-5501.2334
2018-05-16,6255.5073,4329.665,20875.31,-6021.815
2018-05-17,5395.0327,3742.4746,18013.63,-5194.7036
2018-05-18,5626.705,3879.8052,18750.79,-5411.428
2018-05-19,6944.3247,4746.688,23081.209,-6668.7515
2018-05-20,7099.4165,4891.3184,23653.256,-6827.0093
2018-05-21,4024.0085,2766.2432,13385.082,-3863.9453
2018-05-22,5405.3105,3747.1924,18043.303,-5203.6523
2018-05-23,5312.1426,3667.3508,17707.68,-5109.531
2018-05-24,5215.3657,3591.308,17366.777,-5012.6494
2018-05-25,5998.3887,4133.047,19989.133,-5769.5293
2018-05-26,6771.419,4637.6543,22513.865,-6502.9277
2018-05-27,6237.1294,4293.3384,20773.406,-5996.4575
2018-05-28,4350.164,3010.8691,14516.927,-4187.644
2018-05-29,6682.0947,4605.4556,22262.01,-6425.0225
2018-05-30,5312.4316,3663.869,17700.895,-5108.1475
2018-05-31,5361.2847,3698.8481,17868.277,-5156.3247
2018-06-01,6874.8105,4730.8145,22897.426,-6609.9355
2018-06-02,7522.537,5108.497,24945.996,-7213.363
2018-06-03,6244.5093,4308.146,20816.6,-6007.3325
2018-06-04,3496.7544,2436.6816,11696.53,-3371.2034
2018-06-05,5295.5767,3660.8557,17662.883,-5095.8345
2018-06-06,5298.7197,3667.1274,17677.502,-5099.237
2018-06-07,5557.7773,3826.2085,18506.668,-5341.8584
2018-06-08,5676.519,3917.626,18924.08,-5460.8965
2018-06-09,7076.7134,4859.114,23549.352,-6799.8667
2018-06-10,6154.739,4253.59,20526.346,-5922.162
2018-06-11,3968.087,2750.1936,13244.222,-3819.7039
2018-06-12,6939.789,4801.6445,23154.848,-6679.6177
2018-06-13,6211.592,4281.32,20698.793,-5974.0015
2018-06-14,6867.984,4730.2197,22882.156,-6604.842
2018-06-15,6547.4585,4505.612,21805.072,-6294.505
2018-06-16,5990.727,4093.6177,19899.004,-5749.1367
2018-06-17,6230.648,4294.4717,20759.996,-5991.5703
2018-06-18,5352.016,3735.5369,17917.19,-5163.2866
2018-06-19,4806.564,3310.9197,16005.989,-4619.631
2018-06-20,6701.995,4624.49,22343.379,-6447.83
2018-06-21,5797.9062,4011.0186,19341.9,-5579.687
2018-06-22,5828.7236,4009.348,19405.88,-5602.1035
2018-06-23,5730.982,3950.343,19093.273,-5510.3994
2018-06-24,6246.9336,4315.027,20834.963,-6011.7886
2018-06-25,4312.05,2992.616,14402.459,-4153.1855
2018-06-26,5280.075,3627.0254,17566.232,-5071.701
2018-06-27,5829.711,4030.8667,19439.756,-5608.1045
