cluster,4_movements,counter
0,"[49, 61, 71, 52]",0.2771340285824643
0,"[49, 61, 52, 54]",0.03675807905240119
0,"[49, 61, 71, 58]",0.032638084202394745
0,"[49, 61, 71, 54]",0.030127462340672075
0,"[49, 61, 71, 62]",0.02986996266254667
0,"[49, 61, 71, 42]",0.027359340800824
0,"[49, 61, 71, 76]",0.026007467490665636
0,"[49, 61, 71, 59]",0.02517059353675808
0,"[49, 61, 52, 62]",0.02285309643362946
0,"[49, 61, 71, 75]",0.020213724732844083
0,"[49, 61, 71, 63]",0.017188103514870608
0,"[49, 71, 52, 54]",0.01660872923908845
0,"[49, 71, 52, 62]",0.01647997940002575
0,"[49, 61, 71, 202]",0.013969357538303077
0,"[49, 61, 52, 58]",0.013454358182052272
0,"[49, 71, 52, 63]",0.01087936140079825
0,"[49, 61, 71, 201]",0.010235612205484744
0,"[49, 61, 42, 59]",0.009334363332045835
0,"[49, 71, 52, 75]",0.009334363332045835
0,"[49, 61, 52, 75]",0.008497489378138278
0,"[49, 61, 54, 59]",0.008433114458606927
0,"[49, 71, 52, 76]",0.008368739539075576
0,"[49, 61, 52, 42]",0.008111239860950173
0,"[49, 61, 54, 42]",0.00785374018282477
0,"[49, 71, 52, 58]",0.007789365263293421
0,"[49, 61, 52, 63]",0.00772499034376207
0,"[49, 61, 52, 59]",0.006952491309385863
0,"[49, 61, 62, 54]",0.006501866872666409
0,"[61, 71, 52, 54]",0.006244367194541007
0,"[49, 52, 54, 42]",0.006179992275009656
0,"[61, 71, 52, 62]",0.005600617999227501
0,"[49, 71, 52, 42]",0.0055362430796961504
0,"[49, 71, 54, 42]",0.005407493240633449
0,"[49, 61, 58, 59]",0.005278743401570748
0,"[49, 61, 52, 76]",0.005214368482039398
0,"[49, 61, 42, 202]",0.005085618642976696
0,"[49, 61, 58, 54]",0.004763744045319943
0,"[49, 61, 202, 59]",0.004570619286725892
0,"[49, 61, 54, 202]",0.003991245010943736
0,"[49, 52, 54, 59]",0.003991245010943736
0,"[49, 71, 62, 63]",0.003926870091412385
0,"[49, 71, 42, 59]",0.0037981202523496844
