date,v0,v1,v2,v3
2018-04-10,-2063.1553,8444.294,-184.05534,-2981.6504
2018-04-11,-1806.9216,7398.1255,-161.9115,-2611.0015
2018-04-12,-1909.0258,7811.4824,-170.92871,-2756.9104
2018-04-13,-1794.5297,7345.5337,-160.08937,-2593.554
2018-04-14,-1862.3851,7622.7876,-166.1947,-2691.0613
2018-04-15,-1450.9606,5938.054,-130.77684,-2095.0498
2018-04-16,-744.6093,3049.479,-67.77916,-1075.1691
2018-04-17,-1268.3317,5190.8823,-114.38962,-1831.3534
2018-04-18,-1471.2289,6023.1216,-133.25563,-2124.3389
2018-04-19,-1470.5355,6021.7964,-133.65878,-2123.3538
2018-04-20,-1493.769,6122.7783,-135.1571,-2160.536
2018-04-21,-1985.3137,8166.169,-177.54468,-2889.5771
2018-04-22,-2293.054,9392.415,-205.22672,-3320.1975
2018-04-23,-1682.3811,6876.1772,-148.8766,-2429.1016
2018-04-24,-2143.4539,8775.542,-191.59166,-3099.4841
2018-04-25,-2195.3933,9003.386,-195.31088,-3181.814
2018-04-26,-2043.319,8375.699,-182.73048,-2958.9238
2018-04-27,-2143.703,8792.812,-189.52348,-3110.196
2018-04-28,-2684.1753,11035.618,-238.75313,-3918.7083
2018-04-29,-2755.0828,11367.166,-241.74364,-4036.3264
2018-04-30,-2671.8362,10911.636,-233.37631,-3857.8818
2018-05-01,-2594.8286,10631.562,-228.69394,-3759.8364
2018-05-02,-2110.2969,8632.419,-187.32515,-3048.048
2018-05-03,-1829.1569,7490.936,-164.02628,-2644.7563
2018-05-04,-2093.0527,8568.784,-185.44243,-3026.7856
2018-05-05,-2255.5688,9254.027,-199.87427,-3271.8413
2018-05-06,-1289.6428,5277.2036,-116.035355,-1862.1147
2018-05-07,-1205.6019,4931.596,-107.94669,-1740.7495
2018-05-08,-1752.6163,7171.9116,-156.69852,-2531.2605
2018-05-09,-1972.7449,8074.8267,-176.13574,-2850.8796
2018-05-10,-2183.4397,8935.91,-194.3787,-3156.4868
2018-05-11,-2025.8795,8304.91,-180.43814,-2935.4211
2018-05-12,-2385.4473,9785.278,-210.28592,-3459.5022
2018-05-13,-2258.4312,9234.271,-200.51974,-3261.157
2018-05-14,-1540.5571,6299.483,-137.23914,-2224.3616
2018-05-15,-1834.1514,7517.1616,-164.9197,-2656.9187
2018-05-16,-2013.8433,8240.842,-179.10536,-2910.4304
2018-05-17,-1736.1628,7102.928,-155.77039,-2506.8284
2018-05-18,-1811.8085,7411.8433,-161.91867,-2616.3335
2018-05-19,-2228.752,9148.339,-195.84976,-3238.3643
2018-05-20,-2283.7915,9350.152,-203.94452,-3303.5178
2018-05-21,-1289.3169,5286.3027,-117.8553,-1862.5975
2018-05-22,-1737.6072,7114.8525,-155.32913,-2510.4739
2018-05-23,-1708.0906,6993.355,-152.90909,-2468.2964
2018-05-24,-1674.2888,6860.7812,-150.99728,-2421.8796
2018-05-25,-1929.15,7902.609,-170.93645,-2794.3643
2018-05-26,-2171.697,8913.673,-192.14346,-3149.4563
2018-05-27,-2004.1547,8213.2,-177.85947,-2900.6284
2018-05-28,-1401.7236,5731.9365,-124.919136,-2023.9058
2018-05-29,-2148.046,8797.077,-191.99936,-3105.1218
2018-05-30,-1707.3431,6991.9795,-153.0854,-2466.8242
2018-05-31,-1724.5115,7059.669,-153.95724,-2491.3647
2018-06-01,-2210.618,9054.534,-197.28055,-3201.9644
2018-06-02,-2401.8347,9892.851,-213.58902,-3510.8533
2018-06-03,-2005.777,8222.346,-178.31299,-2908.3132
2018-06-04,-1126.7657,4607.0723,-100.25997,-1626.8972
2018-06-05,-1704.3912,6974.915,-151.8685,-2461.998
2018-06-06,-1703.1785,6974.315,-152.60228,-2461.9133
2018-06-07,-1785.1184,7313.2075,-160.5956,-2581.5325
2018-06-08,-1827.3566,7478.215,-162.60025,-2640.7024
2018-06-09,-2271.3127,9315.835,-201.9162,-3292.276
2018-06-10,-1978.9078,8104.1274,-176.43849,-2862.107
2018-06-11,-1276.4747,5223.1245,-114.79011,-1843.0994
2018-06-12,-2232.3584,9139.027,-199.23923,-3228.7827
2018-06-13,-1998.8068,8182.9277,-177.50552,-2889.5964
2018-06-14,-2210.1372,9048.675,-196.29138,-3197.591
2018-06-15,-2105.8782,8622.831,-188.14995,-3046.6372
2018-06-16,-1919.3954,7881.5703,-170.79222,-2783.454
2018-06-17,-2001.5463,8202.134,-178.71432,-2898.0022
2018-06-18,-1727.1918,7057.682,-152.33708,-2493.783
2018-06-19,-1544.4716,6323.501,-139.71727,-2230.3076
2018-06-20,-2157.906,8830.829,-191.77003,-3120.0781
2018-06-21,-1865.2395,7634.518,-166.5951,-2694.718
2018-06-22,-1870.1547,7669.358,-167.69174,-2710.9
2018-06-23,-1840.7845,7542.6255,-164.78638,-2663.1274
2018-06-24,-2011.1224,8231.847,-178.18146,-2909.091
2018-06-25,-1389.0005,5680.402,-123.93662,-2005.5414
2018-06-26,-1694.7235,6944.921,-153.18791,-2450.6929
2018-06-27,-1872.4241,7669.501,-168.64107,-2706.3162
2018-06-28,-2090.9895,8565.568,-186.54578,-3025.0264
2018-06-29,-2024.6925,8279.447,-178.9295,-2924.3333
2018-06-30,-2107.7944,8630.504,-188.03972,-3049.738
2018-07-01,-1807.6519,7403.5947,-160.97784,-2615.2979
2018-07-02,-1395.924,5706.959,-124.014496,-2015.5181
2018-07-03,-1537.8019,6295.004,-139.08177,-2220.458
2018-07-04,-1532.9976,6284.7607,-138.94421,-2217.8926
2018-07-05,-1820.397,7456.594,-164.2741,-2630.0303
2018-07-06,-1939.5314,7939.547,-172.47073,-2802.8865
2018-07-07,-1969.2872,8061.9087,-175.62964,-2847.995
2018-07-08,-1759.5295,7209.046,-158.07939,-2545.9866
2018-07-09,-1407.2222,5753.465,-125.115364,-2031.8342
2018-07-10,-1800.6,7371.208,-161.14662,-2601.3967
2018-07-11,-1868.7264,7651.3267,-166.92615,-2702.5725
2018-07-12,-1841.7847,7542.027,-164.66551,-2664.147
2018-07-13,-1641.8883,6725.1987,-147.79663,-2372.737
2018-07-14,-1941.9817,7957.21,-174.12894,-2810.7449
2018-07-15,-1917.9316,7858.8516,-171.40561,-2775.4084
2018-07-16,-1598.3275,6530.5156,-140.78693,-2307.7175
2018-07-17,-1988.7377,8140.3477,-177.59915,-2873.972
2018-07-18,-1949.0897,7972.821,-174.49739,-2814.2588
2018-07-19,-1896.7197,7764.086,-169.53133,-2740.6458
2018-07-20,-2110.5176,8643.842,-187.85239,-3053.2166
2018-07-21,-2046.1813,8384.259,-181.18875,-2961.0183
2018-07-22,-2060.0886,8439.229,-184.39835,-2982.2104
2018-07-23,-1525.6836,6238.495,-135.86217,-2202.8848
2018-07-24,-1991.4275,8159.3003,-178.81981,-2883.2954
2018-07-25,-2429.522,9949.146,-215.71947,-3516.6077
2018-07-26,-2066.5093,8467.502,-185.23674,-2991.7227
2018-07-27,-1965.8263,8049.659,-175.8433,-2843.2515
2018-07-28,-2177.494,8927.089,-194.4561,-3156.7822
2018-07-29,-1606.875,6584.919,-145.05782,-2324.076
2018-07-30,-1739.0361,7108.6255,-154.16525,-2510.9116
2018-07-31,-1963.6757,8045.5757,-176.3999,-2842.7576
2018-08-01,-2088.384,8547.627,-186.10039,-3019.0095
2018-08-02,-2063.9321,8459.875,-183.92975,-2990.1738
2018-08-03,-1814.428,7432.928,-162.29529,-2626.129
2018-08-04,-1868.5222,7660.231,-167.68393,-2705.2583
2018-08-05,-1929.3163,7914.1333,-173.52322,-2797.5154
2018-08-06,-1745.6173,7135.2847,-154.6735,-2520.4119
2018-08-07,-2299.4744,9415.797,-205.16919,-3328.5066
2018-08-08,-2070.9648,8498.937,-181.96678,-3005.142
2018-08-09,-2155.931,8858.287,-191.80061,-3133.072
2018-08-10,-2228.5286,9129.001,-198.91115,-3229.5967
2018-08-11,-2311.5762,9480.203,-202.60973,-3352.5276
