date,v0,v1,v2,v3,v4,v5,v6,v7
2018-03-02,6661.913,2664.0432,-11872.066,2100.0312,2825.3376,-8076.743,-207.1656,9402.492
2018-03-03,6453.404,2580.4023,-11499.217,2034.7021,2736.0864,-7824.087,-200.41692,9107.797
2018-03-04,1467.3164,587.5233,-2618.3564,461.31183,624.4219,-1778.4259,-46.604557,2072.0947
2018-03-05,4937.826,1974.8942,-8802.869,1556.6573,2097.3008,-5987.3545,-152.14255,6969.951
2018-03-06,11168.961,4462.4214,-19890.553,3528.7185,4731.486,-13546.325,-337.69635,15758.497
2018-03-07,12072.991,4822.388,-21494.635,3816.255,5110.714,-14643.479,-363.67328,17032.082
2018-03-08,11930.781,4771.5977,-21264.053,3759.92,5061.2266,-14464.073,-371.9786,16839.71
2018-03-09,12098.924,4818.5776,-21482.395,3849.6597,5090.153,-14688.377,-339.67352,17048.297
2018-03-10,17409.625,6927.291,-30882.46,5549.702,7306.3223,-21139.908,-480.74347,24521.748
2018-03-11,13118.381,5236.264,-23340.334,4153.1777,5544.6797,-15914.789,-388.98038,18501.52
2018-03-12,10123.319,4043.553,-18023.41,3200.1577,4285.515,-12278.892,-304.60822,14281.514
2018-03-13,14344.539,5730.4375,-25540.05,4532.4707,6071.7314,-17397.014,-435.01114,20237.395
2018-03-14,11608.141,4637.134,-20668.537,3668.494,4914.5996,-14079.131,-350.6223,16376.859
2018-03-15,9768.048,3901.6238,-17391.395,3088.079,4135.7983,-11848.326,-293.31064,13780.393
2018-03-16,14154.496,5637.287,-25130.695,4503.085,5952.987,-17182.895,-399.0778,19944.51
2018-03-17,14906.297,5929.86,-26437.998,4754.669,6254.8306,-18102.455,-407.60385,20994.133
2018-03-18,12755.553,5080.363,-22648.31,4057.7551,5365.665,-15484.67,-359.62848,17973.729
2018-03-19,11477.738,4588.307,-20449.82,3621.4788,4866.672,-13917.881,-352.3834,16197.584
2018-03-20,13293.526,5308.597,-23660.682,4203.9214,5622.562,-16124.27,-399.60306,18751.79
2018-03-21,12198.116,4871.664,-21713.283,3856.6768,5160.619,-14795.233,-367.36978,17207.37
2018-03-22,11798.589,4711.8813,-21001.814,3730.9434,4991.8633,-14311.199,-354.36395,16643.574
2018-03-23,16286.339,6494.8657,-28949.42,5165.6743,6866.805,-19761.957,-475.47546,22960.414
2018-03-24,20202.883,8033.817,-35815.582,6448.38,8465.805,-24535.477,-550.70776,28448.754
2018-03-25,17634.639,7033.648,-31350.863,5591.4785,7438.087,-21397.123,-516.46204,24862.861
2018-03-26,12593.916,5030.608,-22420.809,3980.0798,5329.264,-15274.143,-381.38684,17766.852
2018-03-27,13532.761,5400.541,-24071.52,4285.91,5715.5464,-16417.758,-400.67862,19084.064
2018-03-28,15039.246,6002.189,-26752.752,4762.127,6352.4404,-18244.814,-446.3594,21209.117
2018-03-29,13438.984,5343.0625,-23823.39,4292.314,5632.9556,-16323.771,-361.54074,18923.223
2018-03-30,16252.176,6462.869,-28813.492,5187.684,6812.162,-19738.217,-441.84402,22885.926
2018-03-31,20146.707,8012.943,-35720.266,6430.949,8444.983,-24469.885,-545.6353,28372.59
2018-04-01,14094.675,5637.377,-25125.01,4442.1323,5983.439,-17088.688,-437.35852,19894.967
2018-04-02,16080.562,6388.595,-28479.791,5148.0586,6723.7915,-19540.979,-418.5149,22636.605
2018-04-03,18585.441,7410.2246,-33029.926,5899.5776,7833.702,-22555.865,-535.7211,26200.145
2018-04-04,15191.066,6056.846,-26999.287,4821.049,6404.506,-18435.143,-439.59964,21414.861
2018-04-05,17304.295,6899.6484,-30753.797,5492.2188,7293.8486,-21000.4,-499.83224,24394.314
2018-04-06,15978.376,6368.4004,-28389.354,5075.2495,6731.769,-19393.074,-457.81436,22521.424
2018-04-07,19620.732,7799.7646,-34770.605,6271.134,8215.342,-23836.084,-522.50635,27626.395
2018-04-08,19928.807,7945.215,-35412.168,6327.925,8396.088,-24187.58,-572.3512,28093.035
2018-04-09,12011.108,4796.013,-21376.951,3799.4292,5080.0044,-14569.615,-359.55118,16942.277
2018-04-10,17174.426,6853.2275,-30547.857,5440.6733,7253.6934,-20836.982,-506.355,24218.93
2018-04-11,15049.965,6006.38,-26773.69,4766.3794,6359.5107,-18259.146,-444.3979,21224.514
2018-04-12,15890.435,6345.192,-28282.48,5026.4307,6721.771,-19275.426,-475.46542,22414.605
2018-04-13,14939.843,5961.2505,-26572.084,4733.336,6309.332,-18126.19,-439.8807,21067.365
2018-04-14,15497.62,6177.0767,-27536.385,4922.043,6529.8994,-18809.332,-444.51352,21844.225
2018-04-15,12083.074,4826.7324,-21514.375,3819.0327,5116.2847,-14655.684,-364.0651,17046.855
2018-04-16,6209.504,2482.6235,-11065.916,1958.9985,2634.9895,-7529.9395,-190.16037,8763.639
2018-04-17,10563.882,4220.9653,-18813.996,3336.958,4475.5654,-12812.057,-320.1126,14905.159
2018-04-18,12258.771,4897.1772,-21828.986,3874.325,5192.125,-14868.935,-369.14188,17295.23
2018-04-19,12252.559,4888.543,-21792.994,3883.4343,5176.319,-14867.468,-357.79706,17277.697
2018-04-20,12460.284,4970.403,-22157.596,3951.1118,5261.094,-15120.444,-362.21884,17569.105
2018-04-21,16617.324,6607.3364,-29457.316,5308.2847,6964.2363,-20186.066,-444.82202,23399.88
2018-04-22,19108.047,7623.447,-33977.95,6057.426,8064.2305,-23186.22,-558.22235,26943.963
2018-04-23,13974.782,5573.92,-24844.596,4431.0454,5894.6265,-16956.47,-409.1728,19702.934
2018-04-24,17848.715,7119.9614,-31736.914,5658.8945,7532.766,-21657.834,-521.35803,25166.527
2018-04-25,18312.178,7295.801,-32521.113,5823.178,7705.9556,-22230.164,-517.14307,25807.184
2018-04-26,17036.367,6789.4224,-30264.703,5413.807,7174.7847,-20679.402,-484.6059,24012.006
2018-04-27,17881.303,7122.0654,-31744.521,5690.2183,7517.0938,-21709.207,-501.36478,25196.871
2018-04-28,22450.92,8924.327,-39773.402,7180.044,9389.255,-27278.117,-592.69604,31610.832
2018-04-29,23133.94,9182.241,-40931.434,7420.9966,9648.296,-28119.13,-589.34216,32552.787
2018-04-30,22143.512,8805.698,-39254.902,7066.9272,9277.238,-26891.15,-605.5889,31181.402
2018-05-01,21609.623,8604.176,-38352.312,6880.481,9078.323,-26236.748,-603.3495,30446.047
2018-05-02,17546.068,6994.5845,-31179.326,5570.4653,7394.035,-21293.951,-506.0673,24732.863
2018-05-03,15234.877,6073.4937,-27074.674,4836.9253,6422.3496,-18489.902,-438.0904,21475.678
2018-05-04,17419.43,6942.214,-30946.414,5533.599,7336.357,-21142.01,-499.18036,24551.62
2018-05-05,18815.924,7487.825,-33378.727,5998.874,7897.307,-22849.857,-516.3883,26504.56
2018-05-06,10744.555,4300.249,-19164.809,3381.351,4567.6475,-13024.345,-338.1847,15170.247
2018-05-07,10030.592,4004.621,-17849.893,3174.0146,4241.283,-12167.866,-299.10065,14147.86
2018-05-08,14581.177,5812.87,-25912.703,4629.148,6146.4453,-17696.156,-419.8731,20554.064
2018-05-09,16418.43,6545.5723,-29178.629,5211.8716,6921.2173,-19925.525,-473.4781,23144.262
