DATE,CLUSTER,HOLIDAY
2017-04-22,2,NO
2017-04-23,2,YES
2017-04-24,2,NO
2017-04-25,2,YES
2017-04-26,3,NO
2017-04-27,3,NO
2017-04-28,0,NO
2017-04-29,2,NO
2017-04-30,2,YES
2017-05-01,0,YES
2017-05-02,0,NO
2017-05-03,3,NO
2017-05-04,0,NO
2017-05-05,0,NO
2017-05-06,0,NO
2017-05-07,1,YES
2017-05-08,1,NO
2017-05-09,3,NO
2017-05-10,3,NO
2017-05-11,3,NO
2017-05-12,3,NO
2017-05-13,0,NO
2017-05-14,0,YES
2017-05-15,1,NO
2017-05-16,3,NO
2017-05-17,3,NO
2017-05-18,3,NO
2017-05-19,3,NO
2017-05-20,0,NO
2017-05-21,0,YES
2017-05-22,1,NO
2017-05-23,3,NO
2017-05-24,3,NO
2017-05-25,0,NO
2017-05-26,0,NO
2017-05-27,0,NO
2017-05-28,3,YES
2017-05-29,1,NO
2017-05-30,3,NO
2017-05-31,3,NO
2017-06-01,0,NO
2017-06-02,2,YES
2017-06-03,2,NO
2017-06-04,0,YES
2017-06-05,1,NO
2017-06-06,3,NO
2017-06-07,3,NO
2017-06-08,0,NO
2017-06-09,0,NO
2017-06-10,2,NO
2017-06-11,0,YES
2017-06-12,1,NO
2017-06-13,0,NO
2017-06-14,3,NO
2017-06-15,0,NO
2017-06-16,0,NO
2017-06-17,2,NO
2017-06-18,0,YES
2017-06-19,3,NO
2017-06-20,0,NO
2017-06-21,3,NO
2017-06-22,0,NO
2017-06-23,0,NO
2017-06-24,0,NO
2017-06-25,0,YES
2017-06-26,3,NO
2017-06-27,0,NO
2017-06-28,3,NO
2017-06-29,0,NO
2017-06-30,0,NO
2017-07-01,0,NO
2017-07-02,0,YES
2017-07-03,3,NO
2017-07-04,3,NO
2017-07-05,0,NO
2017-07-06,0,NO
2017-07-07,3,NO
2017-07-08,3,NO
2017-07-09,0,YES
2017-07-10,1,NO
2017-07-11,0,NO
2017-07-12,3,NO
2017-07-13,0,NO
2017-07-14,3,NO
2017-07-15,0,NO
2017-07-16,0,YES
2017-07-17,1,NO
2017-07-18,3,NO
2017-07-19,0,NO
2017-07-20,0,NO
2017-07-21,0,NO
2017-07-22,0,NO
2017-07-23,0,YES
2017-07-24,1,NO
2017-07-25,0,NO
2017-07-26,0,NO
2017-07-27,0,NO
2017-07-28,0,NO
2017-07-29,0,NO
2017-07-30,0,YES
2017-07-31,3,NO
2017-08-01,0,NO
2017-08-02,0,NO
2017-08-03,0,NO
2017-08-04,3,NO
2017-08-05,0,NO
2017-08-06,0,YES
2017-08-07,3,NO
2017-08-08,0,NO
2017-08-09,0,NO
2017-08-10,0,NO
2017-08-11,0,NO
2017-08-12,0,NO
2017-08-13,0,YES
2017-08-14,3,NO
2017-08-15,0,YES
2017-08-16,0,NO
2017-08-17,0,NO
2017-08-18,0,NO
2017-08-19,0,NO
2017-08-20,0,YES
2017-08-21,3,NO
2017-08-22,0,NO
2017-08-23,0,NO
2017-08-24,0,NO
2017-08-25,0,NO
2017-08-26,0,NO
2017-08-27,0,YES
2017-08-28,3,NO
2017-08-29,0,NO
2017-08-30,0,NO
2017-08-31,0,NO
2017-09-01,3,NO
2017-09-02,0,NO
2017-09-03,0,YES
2017-09-04,3,NO
2017-09-05,0,NO
2017-09-06,0,NO
2017-09-07,0,NO
2017-09-08,0,NO
2017-09-09,0,NO
2017-09-10,0,YES
2017-09-11,3,NO
2017-09-12,0,NO
2017-09-13,0,NO
2017-09-14,0,NO
2017-09-15,0,NO
2017-09-16,0,NO
2017-09-17,0,YES
2017-09-18,1,NO
2017-09-19,3,NO
2017-09-20,3,NO
2017-09-21,3,NO
2017-09-22,0,NO
2017-09-23,0,NO
2017-09-24,3,YES
2017-09-25,1,NO
2017-09-26,0,NO
2017-09-27,3,NO
2017-09-28,3,NO
2017-09-29,3,NO
2017-09-30,3,NO
2017-10-01,1,YES
2017-10-02,1,NO
2017-10-03,3,NO
2017-10-04,3,NO
2017-10-05,3,NO
2017-10-06,3,NO
2017-10-07,0,NO
2017-10-08,0,YES
2017-10-09,1,NO
2017-10-10,3,NO
2017-10-11,3,NO
2017-10-12,3,NO
2017-10-13,0,NO
2017-10-14,2,NO
2017-10-15,2,YES
2017-10-16,1,NO
2017-10-17,0,NO
2017-10-18,3,NO
2017-10-19,3,NO
2017-10-20,0,NO
2017-10-21,2,NO
2017-10-22,0,YES
2017-10-23,1,NO
2017-10-24,3,NO
2017-10-25,3,NO
2017-10-26,3,NO
2017-10-27,3,NO
2017-10-28,0,NO
2017-10-29,0,YES
2017-10-30,3,NO
2017-10-31,0,NO
2017-11-01,0,YES
2017-11-02,0,NO
2017-11-03,0,NO
2017-11-04,0,NO
2017-11-05,1,YES
2017-11-06,1,NO
2017-11-07,1,NO
2017-11-08,3,NO
2017-11-09,3,NO
2017-11-10,3,NO
2017-11-11,2,NO
2017-11-12,3,YES
2017-11-13,1,NO
2017-11-14,1,NO
2017-11-15,1,NO
2017-11-16,3,NO
2017-11-17,3,NO
2017-11-18,0,NO
2017-11-19,3,YES
2017-11-20,1,NO
2017-11-21,3,NO
2017-11-22,1,NO
2017-11-23,3,NO
2017-11-24,3,NO
2017-11-25,0,NO
2017-11-26,3,YES
2017-11-27,1,NO
2017-11-28,1,NO
2017-11-29,1,NO
2017-11-30,3,NO
