DATE,CLUSTER,HOLIDAY
2017-07-12,3,NO
2017-07-13,3,NO
2017-07-14,3,NO
2017-07-15,1,NO
2017-07-16,3,YES
2017-07-17,0,NO
2017-07-18,3,NO
2017-07-19,3,NO
2017-07-20,3,NO
2017-07-21,1,NO
2017-07-22,1,NO
2017-07-23,1,YES
2017-07-24,3,NO
2017-07-25,1,NO
2017-07-26,1,NO
2017-07-27,1,NO
2017-07-28,1,NO
2017-07-29,1,NO
2017-07-30,1,YES
2017-07-31,3,NO
2017-08-01,1,NO
2017-08-02,1,NO
2017-08-03,3,NO
2017-08-04,3,NO
2017-08-05,1,NO
2017-08-06,1,YES
2017-08-07,1,NO
2017-08-08,1,NO
2017-08-09,1,NO
2017-08-10,1,NO
2017-08-11,1,NO
2017-08-12,1,NO
2017-08-13,1,YES
2017-08-14,1,NO
2017-08-15,1,YES
2017-08-16,1,NO
2017-08-17,1,NO
2017-08-18,4,NO
2017-08-19,1,NO
2017-08-20,3,YES
2017-08-21,3,NO
2017-08-22,1,NO
2017-08-23,1,NO
2017-08-24,3,NO
2017-08-25,1,NO
2017-08-26,1,NO
2017-08-27,3,YES
2017-08-28,0,NO
2017-08-29,3,NO
2017-08-30,1,NO
2017-08-31,3,NO
2017-09-01,3,NO
2017-09-02,3,NO
2017-09-03,3,YES
2017-09-04,3,NO
2017-09-05,3,NO
2017-09-06,3,NO
2017-09-07,1,NO
2017-09-08,1,NO
2017-09-09,1,NO
2017-09-10,3,YES
2017-09-11,1,NO
2017-09-12,3,NO
2017-09-13,1,NO
2017-09-14,3,NO
2017-09-15,1,NO
2017-09-16,1,NO
2017-09-17,3,YES
2017-09-18,0,NO
2017-09-19,3,NO
2017-09-20,3,NO
2017-09-21,3,NO
2017-09-22,1,NO
2017-09-23,1,NO
2017-09-24,3,YES
2017-09-25,3,NO
2017-09-26,1,NO
2017-09-27,3,NO
2017-09-28,3,NO
2017-09-29,3,NO
2017-09-30,3,NO
2017-10-01,0,YES
2017-10-02,0,NO
2017-10-03,3,NO
2017-10-04,3,NO
2017-10-05,3,NO
2017-10-06,3,NO
2017-10-07,1,NO
2017-10-08,3,YES
2017-10-09,0,NO
2017-10-10,3,NO
2017-10-11,3,NO
2017-10-12,3,NO
2017-10-13,1,NO
2017-10-14,4,NO
2017-10-15,3,YES
2017-10-16,0,NO
2017-10-17,3,NO
2017-10-18,3,NO
2017-10-19,3,NO
2017-10-20,3,NO
2017-10-21,4,NO
2017-10-22,3,YES
2017-10-23,0,NO
2017-10-24,0,NO
2017-10-25,0,NO
2017-10-26,3,NO
2017-10-27,3,NO
2017-10-28,3,NO
2017-10-29,3,YES
2017-10-30,3,NO
2017-10-31,1,NO
2017-11-01,1,YES
2017-11-02,1,NO
2017-11-03,1,NO
2017-11-04,1,NO
2017-11-05,0,YES
2017-11-06,0,NO
2017-11-07,0,NO
2017-11-08,0,NO
2017-11-09,0,NO
2017-11-10,3,NO
2017-11-11,4,NO
2017-11-12,0,YES
2017-11-13,0,NO
2017-11-14,0,NO
2017-11-15,0,NO
2017-11-16,0,NO
2017-11-17,3,NO
2017-11-18,1,NO
2017-11-19,0,YES
2017-11-20,0,NO
2017-11-21,0,NO
2017-11-22,0,NO
2017-11-23,0,NO
2017-11-24,3,NO
2017-11-25,3,NO
2017-11-26,3,YES
2017-11-27,0,NO
2017-11-28,0,NO
2017-11-29,0,NO
2017-11-30,0,NO
2017-12-01,3,NO
2017-12-02,3,NO
2017-12-03,0,YES
2017-12-04,0,NO
2017-12-05,0,NO
2017-12-06,0,NO
2017-12-07,3,NO
2017-12-08,4,YES
2017-12-09,2,NO
2017-12-10,0,YES
2017-12-11,0,NO
2017-12-12,0,NO
2017-12-13,0,NO
2017-12-14,0,NO
2017-12-15,0,NO
2017-12-16,3,NO
2017-12-17,0,YES
2017-12-18,0,NO
2017-12-19,0,NO
2017-12-20,0,NO
2017-12-21,0,NO
2017-12-22,0,NO
2017-12-23,0,NO
2017-12-24,0,YES
2017-12-26,0,YES
2017-12-27,3,NO
2017-12-28,1,NO
2017-12-29,4,NO
2017-12-30,4,NO
