cluster,3_movements,rel_weight
2,"[49, 61, 71]",0.4224719429934302
2,"[49, 61, 52]",0.10700437499085495
2,"[49, 71, 52]",0.06511274014895453
2,"[61, 71, 52]",0.031268747347936145
2,"[49, 61, 54]",0.029922596315643153
2,"[49, 61, 58]",0.02466968087441289
2,"[49, 61, 59]",0.02449409595715728
2,"[49, 61, 62]",0.014178482068390326
2,"[49, 61, 42]",0.01410532168620049
2,"[49, 61, 202]",0.010827736564095811
2,"[49, 52, 54]",0.010359510118080856
2,"[49, 61, 75]",0.009276736461671277
2,"[49, 71, 54]",0.008881670397846158
2,"[49, 61, 76]",0.008340283569641367
2,"[49, 71, 58]",0.008252491111013564
2,"[49, 71, 63]",0.007755000512122676
2,"[49, 71, 75]",0.007169717454603983
2,"[49, 71, 62]",0.00642348155626765
2,"[61, 71, 58]",0.006189368333260173
2,"[49, 71, 59]",0.0058674626516248924
2,"[49, 61, 63]",0.005472396587799775
2,"[61, 52, 54]",0.00544313243492384
2,"[49, 71, 42]",0.0054138682820479055
2,"[49, 52, 62]",0.005340707899858069
2,"[61, 71, 54]",0.00522365128835433
2,"[49, 71, 76]",0.005179755059040428
2,"[49, 49, 61]",0.004272566319886455
2,"[49, 52, 63]",0.004038453096878978
2,"[49, 52, 58]",0.003994556867565076
2,"[71, 52, 62]",0.003467802115798253
2,"[49, 61, 201]",0.0034531700393602856
2,"[61, 71, 59]",0.0033507455042945146
2,"[71, 52, 75]",0.003292217198542645
2,"[49, 61, 61]",0.0032629530456667107
2,"[49, 52, 75]",0.003204424739914841
2,"[49, 54, 59]",0.003189792663476874
2,"[61, 52, 58]",0.003175160587038907
2,"[61, 71, 63]",0.0030581039755351682
2,"[71, 52, 54]",0.003043471899097201
2,"[71, 52, 58]",0.0029703115169073644
2,"[61, 71, 75]",0.0028532549054036257
2,"[61, 71, 42]",0.00272156621746192
2,"[71, 52, 63]",0.002575245453082247
2,"[61, 52, 62]",0.002545981300206312
2,"[61, 71, 62]",0.0024142926122646064
2,"[61, 71, 76]",0.0022240756185710315
2,"[49, 52, 42]",0.0022094435421330643
2,"[49, 54, 42]",0.0021509152363811948
2,"[61, 52, 75]",0.0020338586248774566
2,"[49, 58, 59]",0.001916802013373718
2,"[49, 52, 59]",0.0018875378604977832
2,"[49, 42, 59]",0.001829009554745914
2,"[61, 54, 59]",0.0017119529432421754
2,"[49, 58, 54]",0.0016973208668042083
2,"[61, 71, 202]",0.0015071038731106331
2,"[49, 71, 201]",0.0014193114144828293
2,"[49, 52, 76]",0.0014193114144828293
2,"[49, 63, 54]",0.0014046793380448619
2,"[71, 52, 76]",0.0014046793380448619
2,"[61, 54, 42]",0.0013900472616068947
2,"[49, 71, 202]",0.0012876227265411235
2,"[49, 62, 54]",0.001258358573665189
2,"[61, 52, 63]",0.0010827736564095812
2,"[71, 52, 42]",0.0010242453506577119
2,"[61, 52, 59]",0.0010242453506577119
2,"[61, 58, 59]",0.0009949811977817773
2,"[52, 63, 54]",0.0009510849684678753
2,"[71, 62, 63]",0.0009218208155919406
2,"[52, 54, 42]",0.0009071887391539733
2,"[71, 58, 63]",0.0008779245862780387
2,"[49, 62, 63]",0.0008486604334021041
2,"[52, 62, 54]",0.0008486604334021041
2,"[52, 58, 54]",0.0008193962805261695
2,"[61, 71, 201]",0.0008047642040882022
2,"[61, 63, 54]",0.0007901321276502348
2,"[71, 58, 54]",0.0007755000512122675
2,"[71, 63, 54]",0.0007462358983363329
2,"[61, 52, 42]",0.0007316038218983656
2,"[71, 58, 59]",0.0007316038218983656
2,"[49, 58, 62]",0.0007169717454603983
2,"[49, 52, 201]",0.0007023396690224309
2,"[71, 75, 58]",0.0007023396690224309
2,"[61, 62, 54]",0.000658443439708529
2,"[49, 58, 42]",0.000658443439708529
2,"[61, 58, 54]",0.000658443439708529
2,"[52, 62, 63]",0.000658443439708529
2,"[61, 42, 59]",0.0006438113632705617
2,"[49, 63, 59]",0.0006145472103946271
2,"[49, 49, 71]",0.0005999151339566598
2,"[49, 75, 62]",0.0005706509810807251
2,"[49, 75, 42]",0.0005560189046427579
2,"[71, 75, 62]",0.0005560189046427579
2,"[61, 52, 76]",0.0005413868282047906
2,"[61, 54, 202]",0.0005413868282047906
2,"[71, 54, 59]",0.0005413868282047906
2,"[61, 42, 202]",0.0005413868282047906
2,"[49, 71, 71]",0.0005413868282047906
2,"[71, 54, 42]",0.0005267547517668232
2,"[49, 62, 42]",0.0005267547517668232
2,"[49, 63, 42]",0.0005121226753288559
2,"[49, 75, 54]",0.0005121226753288559
2,"[71, 62, 54]",0.0004974905988908887
2,"[61, 202, 59]",0.0004974905988908887
2,"[61, 62, 202]",0.0004974905988908887
2,"[49, 75, 58]",0.0004974905988908887
2,"[52, 54, 59]",0.0004828585224529213
2,"[49, 58, 63]",0.0004828585224529213
2,"[71, 58, 42]",0.0004828585224529213
2,"[49, 62, 59]",0.000468226446014954
2,"[61, 58, 62]",0.00045359436957698667
2,"[71, 58, 62]",0.00045359436957698667
2,"[71, 75, 63]",0.00043896229313901934
2,"[61, 61, 71]",0.00042433021670105207
2,"[71, 75, 42]",0.00042433021670105207
2,"[61, 52, 201]",0.00042433021670105207
2,"[71, 52, 59]",0.00040969814026308474
2,"[71, 76, 58]",0.0003950660638251174
2,"[61, 75, 62]",0.0003950660638251174
2,"[52, 75, 58]",0.0003950660638251174
2,"[71, 63, 42]",0.0003658019109491828
2,"[71, 52, 201]",0.00035116983451121547
2,"[61, 52, 202]",0.0003365377580732482
2,"[49, 49, 52]",0.0003365377580732482
2,"[61, 58, 42]",0.0003365377580732482
2,"[71, 75, 54]",0.0003365377580732482
2,"[49, 75, 63]",0.0003365377580732482
2,"[61, 201, 58]",0.00032190568163528087
2,"[61, 75, 58]",0.00030727360519731354
2,"[52, 58, 62]",0.00030727360519731354
2,"[49, 76, 54]",0.00029264152875934626
2,"[49, 202, 59]",0.00029264152875934626
2,"[61, 75, 54]",0.00029264152875934626
2,"[61, 71, 71]",0.00029264152875934626
2,"[49, 76, 62]",0.00027800945232137893
2,"[61, 58, 202]",0.00027800945232137893
2,"[61, 58, 63]",0.00027800945232137893
2,"[49, 75, 59]",0.0002633773758834116
2,"[71, 42, 59]",0.0002633773758834116
2,"[52, 75, 62]",0.00024874529944544433
2,"[49, 76, 58]",0.00024874529944544433
2,"[49, 54, 202]",0.000234113223007477
2,"[49, 42, 202]",0.000234113223007477
2,"[52, 63, 42]",0.000234113223007477
2,"[61, 62, 59]",0.000234113223007477
2,"[61, 62, 42]",0.00021948114656950967
2,"[52, 58, 63]",0.00021948114656950967
2,"[49, 76, 59]",0.00020484907013154237
2,"[49, 201, 42]",0.00020484907013154237
2,"[49, 52, 202]",0.00019021699369357507
2,"[61, 62, 63]",0.00019021699369357507
2,"[61, 201, 62]",0.00019021699369357507
2,"[49, 75, 201]",0.00019021699369357507
2,"[71, 62, 42]",0.00019021699369357507
2,"[71, 75, 76]",0.00019021699369357507
2,"[71, 52, 52]",0.00019021699369357507
2,"[49, 201, 58]",0.00017558491725560774
2,"[58, 54, 59]",0.00017558491725560774
2,"[49, 76, 42]",0.00017558491725560774
2,"[62, 63, 54]",0.00017558491725560774
2,"[75, 62, 63]",0.00017558491725560774
2,"[61, 75, 63]",0.00017558491725560774
2,"[54, 42, 59]",0.00016095284081764043
2,"[71, 63, 59]",0.00016095284081764043
2,"[52, 76, 54]",0.00016095284081764043
2,"[52, 58, 59]",0.00016095284081764043
2,"[61, 61, 52]",0.0001316886879417058
2,"[71, 76, 63]",0.0001316886879417058
2,"[61, 75, 59]",0.0001316886879417058
2,"[52, 75, 54]",0.0001316886879417058
2,"[52, 42, 59]",0.0001316886879417058
2,"[71, 75, 202]",0.0001170566115037385
2,"[49, 201, 54]",0.0001170566115037385
2,"[54, 42, 202]",0.0001170566115037385
2,"[61, 75, 42]",0.0001170566115037385
2,"[49, 75, 76]",0.0001170566115037385
2,"[52, 75, 63]",0.0001170566115037385
2,"[71, 76, 42]",0.0001170566115037385
2,"[71, 75, 59]",0.0001170566115037385
2,"[61, 63, 59]",0.0001170566115037385
2,"[71, 63, 202]",0.0001170566115037385
2,"[71, 71, 52]",0.00010242453506577118
2,"[58, 42, 59]",0.00010242453506577118
2,"[71, 201, 62]",0.00010242453506577118
2,"[49, 62, 202]",0.00010242453506577118
2,"[61, 76, 202]",0.00010242453506577118
2,"[71, 71, 62]",0.00010242453506577118
2,"[71, 76, 54]",0.00010242453506577118
2,"[49, 49, 54]",8.779245862780387e-05
2,"[76, 54, 42]",8.779245862780387e-05
2,"[49, 52, 52]",8.779245862780387e-05
2,"[58, 62, 54]",8.779245862780387e-05
2,"[61, 75, 201]",8.779245862780387e-05
2,"[52, 76, 58]",8.779245862780387e-05
2,"[71, 42, 202]",8.779245862780387e-05
2,"[61, 63, 42]",8.779245862780387e-05
2,"[52, 58, 42]",8.779245862780387e-05
2,"[71, 58, 202]",8.779245862780387e-05
2,"[71, 201, 58]",8.779245862780387e-05
2,"[62, 63, 59]",8.779245862780387e-05
2,"[71, 76, 201]",8.779245862780387e-05
2,"[75, 58, 62]",8.779245862780387e-05
2,"[49, 201, 62]",7.316038218983657e-05
2,"[52, 75, 42]",7.316038218983657e-05
2,"[49, 49, 63]",7.316038218983657e-05
2,"[49, 201, 63]",7.316038218983657e-05
2,"[49, 63, 202]",7.316038218983657e-05
2,"[49, 76, 202]",7.316038218983657e-05
2,"[75, 54, 59]",7.316038218983657e-05
2,"[61, 76, 62]",7.316038218983657e-05
2,"[61, 75, 76]",7.316038218983657e-05
2,"[49, 49, 49]",7.316038218983657e-05
2,"[58, 62, 59]",7.316038218983657e-05
2,"[61, 76, 54]",7.316038218983657e-05
2,"[58, 63, 54]",7.316038218983657e-05
2,"[71, 71, 71]",7.316038218983657e-05
2,"[49, 76, 201]",7.316038218983657e-05
2,"[49, 58, 202]",7.316038218983657e-05
2,"[52, 42, 202]",7.316038218983657e-05
2,"[63, 54, 42]",5.852830575186925e-05
2,"[61, 76, 201]",5.852830575186925e-05
2,"[61, 52, 52]",5.852830575186925e-05
2,"[52, 75, 59]",5.852830575186925e-05
2,"[49, 76, 63]",5.852830575186925e-05
2,"[75, 62, 54]",5.852830575186925e-05
2,"[61, 75, 202]",5.852830575186925e-05
2,"[52, 63, 59]",5.852830575186925e-05
2,"[61, 76, 58]",5.852830575186925e-05
2,"[61, 61, 59]",5.852830575186925e-05
2,"[49, 49, 58]",5.852830575186925e-05
2,"[52, 62, 59]",5.852830575186925e-05
2,"[76, 58, 54]",5.852830575186925e-05
2,"[75, 42, 202]",5.852830575186925e-05
2,"[62, 63, 63]",5.852830575186925e-05
2,"[75, 54, 42]",5.852830575186925e-05
2,"[71, 201, 42]",5.852830575186925e-05
2,"[52, 201, 58]",5.852830575186925e-05
2,"[58, 63, 59]",5.852830575186925e-05
2,"[75, 63, 59]",5.852830575186925e-05
2,"[61, 201, 202]",5.852830575186925e-05
2,"[49, 54, 54]",4.3896229313901934e-05
2,"[62, 54, 59]",4.3896229313901934e-05
2,"[61, 63, 202]",4.3896229313901934e-05
2,"[71, 52, 202]",4.3896229313901934e-05
2,"[58, 62, 63]",4.3896229313901934e-05
2,"[61, 61, 54]",4.3896229313901934e-05
2,"[71, 62, 62]",4.3896229313901934e-05
2,"[71, 76, 59]",4.3896229313901934e-05
2,"[76, 62, 59]",4.3896229313901934e-05
2,"[58, 202, 59]",4.3896229313901934e-05
2,"[62, 54, 54]",4.3896229313901934e-05
2,"[71, 62, 202]",4.3896229313901934e-05
2,"[52, 75, 75]",4.3896229313901934e-05
2,"[61, 76, 42]",4.3896229313901934e-05
2,"[49, 201, 59]",4.3896229313901934e-05
2,"[54, 202, 59]",2.9264152875934625e-05
2,"[76, 54, 59]",2.9264152875934625e-05
2,"[61, 202, 202]",2.9264152875934625e-05
2,"[63, 42, 202]",2.9264152875934625e-05
2,"[61, 59, 59]",2.9264152875934625e-05
2,"[49, 49, 75]",2.9264152875934625e-05
2,"[49, 58, 58]",2.9264152875934625e-05
2,"[61, 201, 42]",2.9264152875934625e-05
2,"[71, 76, 62]",2.9264152875934625e-05
2,"[52, 42, 42]",2.9264152875934625e-05
2,"[61, 61, 42]",2.9264152875934625e-05
