poi_id_1,poi_id_2,distance
54,52,366.962
54,70,1745.225
54,74,840.9279999999999
54,51,829.777
54,73,878.9269999999999
54,63,2136.5040000000004
54,62,794.014
54,79,209.14299999999997
54,48,647.6909999999999
54,77,1039.9
54,78,243.519
54,44,648.1690000000001
54,110,334.867
54,72,304.764
54,53,466.605
54,56,304.764
54,57,270.426
54,58,322.803
54,59,359.62600000000003
54,60,365.99100000000004
54,46,449.72700000000003
54,47,637.583
54,55,275.865
54,43,1098.272
54,49,892.019
54,75,1044.655
54,100,1987.174
54,101,2188.47
54,102,1995.979
54,50,1184.161
54,201,902.0249999999999
54,200,965.566
54,42,637.583
54,45,305.098
54,202,1597.1629999999998
54,71,1159.256
54,61,508.63100000000014
54,76,1129.1989999999998
54,203,337.70300000000003
52,54,366.96200000000005
52,70,1799.4359999999997
52,74,888.1389999999999
52,51,897.239
52,73,656.13
52,63,1894.6659999999997
52,62,1050.783
52,79,461.88000000000005
52,48,900.4279999999999
52,77,1130.86
52,78,496.25600000000003
52,44,735.9730000000002
52,110,531.619
52,72,515.0939999999999
52,53,99.643
52,56,515.0939999999999
52,57,523.163
52,58,575.5400000000001
52,59,612.363
52,60,562.7429999999999
52,46,361.804
52,47,549.6600000000001
52,55,528.6020000000001
52,43,1152.4830000000002
52,49,1083.584
52,75,1226.68
52,100,2078.134
52,101,1946.632
52,102,2058.774
52,50,1238.3719999999998
52,201,1158.7939999999999
52,200,877.643
52,42,549.6600000000001
52,45,557.835
52,202,1832.8940000000002
52,71,1213.467
52,61,751.5160000000002
52,76,1220.159
52,203,590.44
70,54,1745.2249999999997
70,52,1799.4359999999997
70,74,2317.9459999999995
70,51,915.4480000000001
70,73,1973.0659999999998
70,63,823.14
70,62,1846.4869999999999
70,79,1662.3839999999998
70,48,1689.7859999999998
70,77,1005.6380000000001
70,78,1628.0079999999998
70,44,1097.056
70,110,1410.358
70,72,1551.6409999999996
70,53,1749.725
70,56,1551.6409999999996
70,57,1606.2679999999998
70,58,1553.9559999999997
70,59,1590.7789999999998
70,60,1542.8009999999997
70,46,2118.61
70,47,2306.466
70,55,1660.3539999999998
70,43,755.5630000000001
70,49,1222.253
70,75,2521.6730000000007
70,100,1211.7199999999998
70,101,902.3060000000002
70,102,627.889
70,50,645.8780000000002
70,201,1958.963
70,200,2476.1620000000003
70,42,2306.466
70,45,1776.9839999999997
70,202,1659.62
70,71,620.9730000000001
70,61,1610.7649999999999
70,76,910.6380000000001
70,203,1568.8559999999998
74,54,840.9279999999999
74,52,888.139
74,70,2317.9459999999995
74,51,1455.9540000000002
74,73,949.0020000000001
74,63,2682.073
74,62,802.825
74,79,724.8820000000001
74,48,828.242
74,77,1327.7440000000001
74,78,759.258
